num_components,title_length,has_navbar,has_hero,has_features,has_footer,has_pricing,has_testimonials,has_contact,navbar_count,hero_count,features_count,site_type,style
3,67,1,0,1,1,0,0,0,1,0,1,saas_landing,modern_gradient
3,54,1,0,1,1,0,0,0,1,0,1,saas_landing,modern_gradient
3,45,1,0,1,1,0,0,0,1,0,1,portfolio,modern_gradient
1,40,0,1,0,0,0,0,0,0,1,0,saas_landing,modern_gradient
3,29,1,1,0,1,0,0,0,1,1,0,ecommerce,modern_gradient
3,7,1,1,0,1,0,0,0,1,1,0,blog,modern_gradient
3,45,1,1,0,1,0,0,0,1,1,0,saas_landing,modern_gradient
3,88,1,1,0,1,0,0,0,1,1,0,blog,modern_gradient
3,57,1,0,1,1,0,0,0,1,0,1,blog,glassmorphism
3,46,1,1,0,1,0,0,0,1,1,0,ecommerce,minimal_clean
1,31,1,0,0,0,0,0,0,1,0,0,portfolio,modern_gradient
1,42,1,0,0,0,0,0,0,1,0,0,blog,modern_gradient
2,51,1,0,0,1,0,0,0,1,0,0,portfolio,modern_gradient
2,37,0,1,1,0,0,0,0,0,1,1,ecommerce,modern_gradient
2,28,1,0,0,1,0,0,0,1,0,0,other,minimal_clean
2,13,0,1,1,0,0,0,0,0,1,1,ecommerce,modern_gradient
3,32,1,1,0,1,0,0,0,1,1,0,blog,modern_gradient
0,57,0,0,0,0,0,0,0,0,0,0,portfolio,minimal_clean
2,46,1,0,0,1,0,0,0,1,0,0,ecommerce,glassmorphism
2,51,1,0,0,1,0,0,0,1,0,0,saas_landing,glassmorphism
4,49,1,1,1,1,0,0,0,1,1,1,saas_landing,modern_gradient
3,54,1,1,0,1,0,0,0,1,1,0,saas_landing,minimal_clean
2,32,1,0,0,1,0,0,0,1,0,0,ecommerce,modern_gradient
3,37,1,1,0,1,0,0,0,1,1,0,portfolio,modern_gradient
2,59,1,0,0,1,0,0,0,1,0,0,corporate,glassmorphism
2,61,1,0,0,1,0,0,0,1,0,0,saas_landing,dark_mode
1,54,1,0,0,0,0,0,0,1,0,0,corporate,modern_gradient
1,15,0,1,0,0,0,0,0,0,1,0,other,minimal_clean
1,50,1,0,0,0,0,0,0,1,0,0,blog,modern_gradient
1,3,0,1,0,0,0,0,0,0,1,0,other,minimal_clean
1,8,0,1,0,0,0,0,0,0,1,0,saas_landing,glassmorphism
3,42,1,1,0,1,0,0,0,1,1,0,corporate,modern_gradient
3,45,1,0,1,1,0,0,0,1,0,1,blog,minimal_clean
3,36,1,0,1,1,0,0,0,1,0,1,portfolio,modern_gradient
3,38,1,1,0,1,0,0,0,1,1,0,saas_landing,modern_gradient
1,35,1,0,0,0,0,0,0,1,0,0,saas_landing,glassmorphism
2,45,1,0,1,0,0,0,0,1,0,1,saas_landing,modern_gradient
3,54,1,1,0,1,0,0,0,1,1,0,ecommerce,glassmorphism
3,11,1,1,0,1,0,0,0,1,1,0,saas_landing,dark_mode
3,53,1,0,1,1,0,0,0,1,0,1,saas_landing,dark_mode
3,66,1,1,1,0,0,0,0,1,1,1,portfolio,dark_mode
3,60,1,0,1,1,0,0,0,1,0,1,saas_landing,modern_gradient
3,50,1,0,1,1,0,0,0,1,0,1,saas_landing,dark_mode
3,53,1,1,0,1,0,0,0,1,1,0,saas_landing,glassmorphism
2,49,1,1,0,0,0,0,0,1,1,0,blog,modern_gradient
0,57,0,0,0,0,0,0,0,0,0,0,ecommerce,glassmorphism
2,41,0,1,0,1,0,0,0,0,1,0,blog,modern_gradient
3,55,1,1,0,1,0,0,0,1,1,0,saas_landing,minimal_clean
3,33,1,0,1,1,0,0,0,1,0,1,portfolio,modern_gradient
1,31,1,0,0,0,0,0,0,1,0,0,portfolio,modern_gradient
1,5,0,1,0,0,0,0,0,0,1,0,other,minimal_clean
3,30,1,0,1,1,0,0,0,1,0,1,portfolio,modern_gradient
2,11,1,0,0,1,0,0,0,1,0,0,ecommerce,glassmorphism
3,70,1,1,0,1,0,0,0,1,1,0,portfolio,dark_mode
3,55,1,1,0,1,0,0,0,1,1,0,saas_landing,dark_mode
4,50,1,1,1,1,0,0,0,1,1,1,saas_landing,dark_mode
2,66,1,0,0,1,0,0,0,1,0,0,ecommerce,modern_gradient
4,62,1,1,1,1,0,0,0,1,1,1,corporate,modern_gradient
3,57,1,0,1,1,0,0,0,1,0,1,blog,glassmorphism
3,88,1,1,0,1,0,0,0,1,1,0,blog,modern_gradient
4,49,1,1,1,1,0,0,0,1,1,1,saas_landing,modern_gradient
3,45,1,1,0,1,0,0,0,1,1,0,saas_landing,modern_gradient
3,89,1,1,0,1,0,0,0,1,1,0,blog,dark_mode
3,7,1,1,0,1,0,0,0,1,1,0,blog,modern_gradient
3,35,1,1,0,1,0,0,0,1,1,0,corporate,modern_gradient
3,56,1,1,0,1,0,0,0,1,1,0,portfolio,modern_gradient
3,36,1,1,0,1,0,0,0,1,1,0,saas_landing,minimal_clean
2,51,1,0,0,1,0,0,0,1,0,0,portfolio,modern_gradient
3,45,1,0,1,1,0,0,0,1,0,1,blog,minimal_clean
3,31,1,1,0,1,0,0,0,1,1,0,corporate,modern_gradient
3,56,1,1,0,1,0,0,0,1,1,0,saas_landing,dark_mode
2,62,1,0,0,1,0,0,0,1,0,0,saas_landing,modern_gradient
1,52,0,1,0,0,0,0,0,0,1,0,saas_landing,modern_gradient
2,60,1,0,0,1,0,0,0,1,0,0,saas_landing,modern_gradient
3,69,1,1,0,1,0,0,0,1,1,0,saas_landing,modern_gradient
3,37,1,1,0,1,0,0,0,1,1,0,portfolio,modern_gradient
3,43,1,0,1,1,0,0,0,1,0,1,saas_landing,modern_gradient
1,54,1,0,0,0,0,0,0,1,0,0,corporate,modern_gradient
2,61,1,0,0,1,0,0,0,1,0,0,saas_landing,dark_mode
2,15,1,0,0,1,0,0,0,1,0,0,portfolio,modern_gradient
0,14,0,0,0,0,0,0,0,0,0,0,other,minimal_clean
1,64,1,0,0,0,0,0,0,1,0,0,portfolio,minimal_clean
0,7,0,0,0,0,0,0,0,0,0,0,portfolio,minimal_clean
1,42,1,0,0,0,0,0,0,1,0,0,portfolio,glassmorphism
2,56,1,0,0,1,0,0,0,1,0,0,portfolio,dark_mode
1,15,0,1,0,0,0,0,0,0,1,0,other,minimal_clean
0,30,0,0,0,0,0,0,0,0,0,0,portfolio,minimal_clean
3,54,1,0,1,1,0,0,0,1,0,1,portfolio,minimal_clean
2,50,1,0,0,1,0,0,0,1,0,0,corporate,modern_gradient
2,12,1,0,0,1,0,0,0,1,0,0,other,minimal_clean
3,16,1,1,0,1,0,0,0,1,1,0,ecommerce,modern_gradient
3,75,1,0,1,1,0,0,0,1,0,1,ecommerce,minimal_clean
3,8,1,0,1,1,0,0,0,1,0,1,restaurant,dark_mode
3,59,1,1,0,1,0,0,0,1,1,0,ecommerce,minimal_clean
3,94,1,0,1,1,0,0,0,1,0,1,ecommerce,modern_gradient
2,67,1,0,0,1,0,0,0,1,0,0,ecommerce,glassmorphism
1,32,0,1,0,0,0,0,0,0,1,0,other,minimal_clean
2,50,1,0,0,1,0,0,0,1,0,0,restaurant,dark_mode
3,65,1,1,0,1,0,0,0,1,1,0,restaurant,minimal_clean
3,5,1,1,0,1,0,0,0,1,1,0,ecommerce,dark_mode
2,25,1,0,0,1,0,0,0,1,0,0,ecommerce,dark_mode
2,73,1,1,0,0,0,0,0,1,1,0,corporate,minimal_clean
0,0,0,0,0,0,0,0,0,0,0,0,other,minimal_clean
0,40,0,0,0,0,0,0,0,0,0,0,restaurant,dark_mode
2,55,1,0,0,1,0,0,0,1,0,0,blog,minimal_clean
1,0,0,1,0,0,0,0,0,0,1,0,other,minimal_clean
0,51,0,0,0,0,0,0,0,0,0,0,ecommerce,minimal_clean
2,61,1,0,0,1,0,0,0,1,0,0,ecommerce,minimal_clean
0,6,0,0,0,0,0,0,0,0,0,0,corporate,minimal_clean
1,10,0,1,0,0,0,0,0,0,1,0,ecommerce,minimal_clean
1,48,1,0,0,0,0,0,0,1,0,0,corporate,modern_gradient
1,12,0,1,0,0,0,0,0,0,1,0,portfolio,minimal_clean
0,3,0,0,0,0,0,0,0,0,0,0,corporate,modern_gradient
3,9,1,1,0,1,0,0,0,1,1,0,blog,glassmorphism
4,40,1,1,1,1,0,0,0,1,1,1,blog,glassmorphism
2,71,1,0,0,1,0,0,0,1,0,0,blog,dark_mode
0,15,0,0,0,0,0,0,0,0,0,0,corporate,minimal_clean
2,52,1,0,0,1,0,0,0,1,0,0,blog,dark_mode
2,44,1,0,0,1,0,0,0,1,0,0,blog,minimal_clean
2,70,1,1,0,0,0,0,0,1,1,0,saas_landing,dark_mode
0,0,0,0,0,0,0,0,0,0,0,0,other,minimal_clean
3,34,1,1,0,1,0,0,0,1,1,0,ecommerce,glassmorphism
1,28,0,1,0,0,0,0,0,0,1,0,ecommerce,glassmorphism
3,46,1,1,0,1,0,0,0,1,1,0,corporate,modern_gradient
0,0,0,0,0,0,0,0,0,0,0,0,other,minimal_clean
0,66,0,0,0,0,0,0,0,0,0,0,portfolio,minimal_clean
0,17,0,0,0,0,0,0,0,0,0,0,ecommerce,minimal_clean
2,24,1,0,0,1,0,0,0,1,0,0,corporate,modern_gradient
2,52,1,0,0,1,0,0,0,1,0,0,blog,minimal_clean
3,42,1,1,0,1,0,0,0,1,1,0,portfolio,modern_gradient
2,51,1,0,0,1,0,0,0,1,0,0,portfolio,modern_gradient
2,37,0,1,1,0,0,0,0,0,1,1,blog,minimal_clean
4,31,1,1,1,1,0,0,0,1,1,1,ecommerce,minimal_clean
3,7,1,1,0,1,0,0,0,1,1,0,blog,dark_mode
